English (en),Italian (it),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aback,dietro,0,0,0,0,0,0,0,0,0,0
abacus,abaco,0,0,0,0,0,0,0,0,0,1
abandon,abbandono,0,1,0,0,0,1,0,1,0,0
abandoned,abbandonato,0,1,1,0,0,1,0,1,0,0
abandonment,abbandono,0,1,1,0,0,1,0,1,1,0
abate,ridurre,0,0,0,0,0,0,0,0,0,0
abatement,riduzione,0,0,0,0,0,0,0,0,0,0
abba,abba,1,0,0,0,0,0,0,0,0,0
abbot,abate,0,0,0,0,0,0,0,0,0,1
abbreviate,abbreviare,0,0,0,0,0,0,0,0,0,0
abbreviation,abbreviazione,0,0,0,0,0,0,0,0,0,0
abdomen,addome,0,0,0,0,0,0,0,0,0,0
abdominal,addominale,0,0,0,0,0,0,0,0,0,0
abduction,rapimento,0,1,0,0,0,1,0,1,1,0
aberrant,aberrante,0,1,0,0,0,0,0,0,0,0
aberration,aberrazione,0,1,0,0,1,0,0,0,0,0
abeyance,disuso,0,0,0,0,0,0,0,0,0,0
abhor,aborrire,0,1,1,0,1,1,0,0,0,0
abhorrent,ripugnante,0,1,1,0,1,1,0,0,0,0
abide,rispettare,0,0,0,0,0,0,0,0,0,0
ability,capacità,1,0,0,0,0,0,0,0,0,0
abject,abietto,0,1,0,0,1,0,0,0,0,0
ablation,ablazione,0,0,0,0,0,0,0,0,0,0
ablaze,in fiamme,0,0,0,0,0,0,0,0,0,0
abnormal,anormale,0,1,0,0,1,0,0,0,0,0
aboard,a bordo,0,0,0,0,0,0,0,0,0,0
abode,dimora,0,0,0,0,0,0,0,0,0,0
abolish,abolire,0,1,1,0,0,0,0,0,0,0
abolition,abolizione,0,1,0,0,0,0,0,0,0,0
abominable,abominevole,0,1,0,0,1,1,0,0,0,0
abomination,abominio,0,1,1,0,1,1,0,0,0,0
aboriginal,aborigeno,0,0,0,0,0,0,0,0,0,0
abort,abortire,0,1,0,0,0,0,0,0,0,0
abortion,aborto,0,1,0,0,1,1,0,1,0,0
abortive,abortivo,0,1,0,0,0,0,0,1,0,0
abound,abbondare,0,0,0,0,0,0,0,0,0,0
abovementioned,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
abrasion,abrasione,0,1,0,0,0,0,0,0,0,0
abroad,all'estero,0,0,0,0,0,0,0,0,0,0
abrogate,abrogare,0,1,0,0,0,0,0,0,0,0
abrupt,brusco,0,0,0,0,0,0,0,0,1,0
abruptly,improvvisamente,0,0,0,0,0,0,0,0,0,0
abscess,ascesso,0,1,0,0,0,0,0,1,0,0
absence,assenza,0,1,0,0,0,1,0,1,0,0
absent,assente,0,1,0,0,0,0,0,1,0,0
absentee,assente,0,1,0,0,0,0,0,1,0,0
absenteeism,assenteismo,0,1,0,0,0,0,0,0,0,0
absinthe,Assenzio,0,0,0,0,0,0,0,0,0,0
absolute,assoluto,1,0,0,0,0,0,0,0,0,0
absolution,assoluzione,1,0,0,0,0,0,1,0,0,1
absorbed,assorbito,1,0,0,0,0,0,0,0,0,0
absorbent,assorbente,0,0,0,0,0,0,0,0,0,0
absorbing,assorbente,0,0,0,0,0,0,0,0,0,0
absorption,assorbimento,0,0,0,0,0,0,0,0,0,0
abstain,astenersi,0,0,0,0,0,0,0,0,0,0
abstention,astensione,0,0,0,0,0,0,0,0,0,0
abstinence,astinenza,0,0,0,0,0,0,0,0,0,0
abstract,astratto,0,0,0,0,0,0,0,0,0,0
abstraction,astrazione,0,0,0,0,0,0,0,0,0,0
absurd,assurdo,0,1,0,0,0,0,0,0,0,0
absurdity,assurdità,0,1,0,0,0,0,0,0,0,0
abundance,abbondanza,1,1,0,1,1,0,1,0,0,1
abundant,abbondante,1,0,0,0,0,0,1,0,0,0
abuse,abuso,0,1,1,0,1,1,0,1,0,0
abutment,appoggio,0,0,0,0,0,0,0,0,0,0
aby,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
abysmal,abissale,0,1,0,0,0,0,0,1,0,0
abyss,abisso,0,1,0,0,0,1,0,1,0,0
academic,accademico,1,0,0,0,0,0,0,0,0,1
academy,accademia,1,0,0,0,0,0,0,0,0,0
accede,aderire,0,0,0,0,0,0,0,0,0,0
accelerate,accelerare,0,0,0,1,0,0,0,0,0,0
acceleration,accelerazione,0,0,0,0,0,0,0,0,0,0
accent,accento,0,0,0,0,0,0,0,0,0,0
accentuate,accentuare,0,0,0,0,0,0,0,0,0,0
accept,accettare,0,0,0,0,0,0,0,0,0,0
acceptable,accettabile,1,0,0,0,0,0,0,0,0,0
acceptance,accettazione,1,0,0,0,0,0,0,0,0,0
access,accesso,0,0,0,0,0,0,0,0,0,0
accessible,accessibile,1,0,0,0,0,0,0,0,0,0
accession,accessione,0,0,0,0,0,0,0,0,0,0
accessory,accessorio,0,0,0,0,0,0,0,0,0,0
accident,incidente,0,1,0,0,0,1,0,1,1,0
accidental,accidentale,0,1,0,0,0,1,0,0,1,0
accidentally,accidentalmente,0,0,0,0,0,0,0,0,1,0
accolade,encomio,1,0,0,1,0,0,1,0,1,1
accommodate,ospitare,0,0,0,0,0,0,0,0,0,0
accommodation,alloggio,1,0,0,0,0,0,0,0,0,0
accompaniment,accompagnamento,1,0,0,1,0,0,1,0,0,1
accompany,accompagnare,0,0,0,0,0,0,0,0,0,0
accompanying,Accompagnando,0,0,0,0,0,0,0,0,0,0
accomplice,complice,0,0,0,0,0,0,0,0,0,0
accomplish,realizzare,1,0,0,0,0,0,1,0,0,0
accomplished,compiuto,1,0,0,0,0,0,1,0,0,0
accomplishment,realizzazione,1,0,0,0,0,0,0,0,0,0
accord,accordo,1,0,0,0,0,0,0,0,0,1
accordance,conformità,0,0,0,0,0,0,0,0,0,0
accordion,fisarmonica,0,0,0,0,0,0,0,0,0,0
account,account,0,0,0,0,0,0,0,0,0,1
accountability,responsabilità,1,0,0,0,0,0,0,0,0,1
accountable,responsabile,1,0,0,0,0,0,0,0,0,1
accountant,contabile,0,0,0,0,0,0,0,0,0,1
accounting,contabilità,0,0,0,0,0,0,0,0,0,0
accounts,conti,0,0,0,0,0,0,0,0,0,1
accredited,accreditato,1,0,0,0,0,0,0,0,0,1
accretion,accrescimento,0,0,0,0,0,0,0,0,0,0
accrue,maturare,0,0,0,0,0,0,0,0,0,0
accueil,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
accumulate,accumulare,0,0,0,0,0,0,0,0,0,0
accumulation,accumulazione,0,0,0,0,0,0,0,0,0,0
accuracy,precisione,0,0,0,0,0,0,0,0,0,0
accurate,preciso,1,0,0,0,0,0,0,0,0,1
accursed,maledetto,0,1,1,0,0,1,0,1,0,0
accusation,accusa,0,1,1,0,1,0,0,0,0,0
accusative,accusativo,0,1,0,0,0,0,0,0,0,0
accused,accusato,0,1,1,0,0,1,0,0,0,0
accuser,accusatore,0,1,1,0,0,1,0,0,0,0
accusing,accusando,0,1,1,0,0,1,0,0,0,0
accustomed,avvezzo,0,0,0,0,0,0,0,0,0,0
ace,asso,1,0,0,0,0,0,0,0,0,0
acetic,acetico,0,0,0,0,0,0,0,0,0,0
ache,dolore,0,1,0,0,0,0,0,1,0,0
achieve,raggiungere,1,0,0,0,0,0,1,0,0,1
achievement,realizzazione,1,0,0,1,0,0,1,0,0,1
aching,dolorante,0,1,0,0,0,0,0,1,0,0
acid,acido,0,1,0,0,0,0,0,0,0,0
acidity,acidità,0,0,0,0,0,0,0,0,0,0
acknowledge,riconoscere,0,0,0,0,0,0,0,0,0,0
acknowledged,riconosciuto,0,0,0,0,0,0,0,0,0,0
acknowledgment,riconoscimento,1,0,0,0,0,0,0,0,0,0
acme,acme,0,0,0,0,0,0,0,0,0,0
acoustic,acustico,0,0,0,0,0,0,0,0,0,0
acoustics,acustica,0,0,0,0,0,0,0,0,0,0
acquaint,informare,0,0,0,0,0,0,0,0,0,0
acquaintance,conoscenza,0,0,0,0,0,0,0,0,0,0
acquainted,conoscenza,0,0,0,0,0,0,0,0,0,0
acquiescence,acquiescenza,0,0,0,0,0,0,0,0,0,0
acquire,acquisire,1,0,0,0,0,0,0,0,0,0
acquiring,acquisizione,1,0,0,1,0,0,0,0,0,0
acquisition,acquisizione,0,0,0,0,0,0,0,0,0,0
acquisitions,acquisizioni,0,0,0,0,0,0,0,0,0,0
acreage,superficie in acri,0,0,0,0,0,0,0,0,0,0
